Term,classical_Name,classical_Term,classical_ES,classical_NES,classical_NOM p-val,classical_FDR q-val,classical_FWER p-val,classical_Tag %,classical_Gene %,classical_Lead_genes,basal_Name,basal_Term,basal_ES,basal_NES,basal_NOM p-val,basal_FDR q-val,basal_FWER p-val,basal_Tag %,basal_Gene %,basal_Lead_genes
EPITHELIAL_MESENCHYMAL_TRANSITION,gsea,EPITHELIAL_MESENCHYMAL_TRANSITION,-0.5825034339496128,-2.5456717317230693,0.0,0.0,0.0,102/189,19.09%,CDH6;FN1;TIMP3;PMEPA1;SERPINH1;DCN;VCAM1;PDLIM4;TGM2;COLGALT1;LAMA3;CALD1;BASP1;FLNA;COL3A1;GLIPR1;GADD45A;DPYSL3;CCN1;ITGAV;JUN;RHOB;GJA1;GADD45B;COL1A2;FBLN2;FERMT2;SLIT3;FSTL3;SPARC;GEM;IL6;TNFAIP3;NOTCH2;COL1A1;THBS1;SLIT2;MMP14;MCM7;NT5E;FSTL1;TPM1;COL12A1;CXCL1;LOXL1;GPC1;BGN;DST;SERPINE2;LAMA2;TGFBR3;BMP1;COL4A1;FAS;DAB2;TNC;FBLN1;MGP;COL6A3;MYLK;PFN2;MEST;FBN1;ABI3BP;LUM;LOX;SFRP1;ACTA2;ITGA5;CADM1;MYL9;FZD8;ITGB5;PTX3;CDH11;LAMC1;POSTN;HTRA1;TPM4;MMP2;COL5A2;ELN;PVR;TNFRSF12A;APLP1;COL5A1;COL16A1;EFEMP2;PRRX1;ANPEP;LRP1;MFAP5;TGFBI;TNFRSF11B;CXCL12;ECM2;COL6A2;EDIL3;ADAM12;SERPINE1;TAGLN;NNMT,gsea,EPITHELIAL_MESENCHYMAL_TRANSITION,-0.6886476144077496,-2.704154975555123,0.0,0.0,0.0,108/189,13.12%,DPYSL3;TIMP3;VCAN;FN1;COL12A1;DST;CALD1;ITGB5;FSTL1;VCAM1;COL3A1;CD44;SPARC;SERPINH1;COL6A2;RHOB;THBS1;PMEPA1;GJA1;COL1A1;JUN;DCN;IGFBP4;TGM2;TNC;COL5A1;COL1A2;NT5E;MMP14;FBN1;LOXL1;COL6A3;IL15;ACTA2;FBLN2;NOTCH2;CTHRC1;LRP1;PDGFRB;HTRA1;SLIT2;PCOLCE;FLNA;PMP22;ITGAV;THBS2;NTM;EDIL3;LOXL2;COL11A1;ADAM12;SERPINE2;TIMP1;COL5A2;PRRX1;PDLIM4;MMP2;BMP1;LGALS1;COL16A1;MYL9;LUM;FERMT2;GPC1;DAB2;CDH6;TGFBI;CDH2;CCN1;MGP;CCN2;TGFBR3;MATN2;FAS;WNT5A;PLOD2;COL4A1;FGF2;FBLN5;IL6;FSTL3;THY1;SFRP4;GREM1;ITGB1;SFRP1;SLIT3;ITGA5;ITGB3;LRRC15;INHBA;SNTB1;SDC1;LAMA2;PLOD3;VIM;PTX3;FBLN1;P3H1;GLIPR1;CDH11;POSTN;TPM4;GAS1;EFEMP2;ABI3BP;COL5A3;FZD8
TNFA_SIGNALING_VIA_NFKB,gsea,TNFA_SIGNALING_VIA_NFKB,-0.5836488165751038,-2.208616436936096,0.0,0.0,0.0,96/193,15.20%,EDN1;ABCA1;PMEPA1;DRAM1;ICAM1;NFKBIA;IRF1;IL18;FJX1;NFKB1;ETS2;GADD45A;CCN1;JUN;RHOB;PPP1R15A;ATF3;RNF19B;IL23A;ZBTB10;LITAF;GADD45B;SIK1;TNFAIP8;KLF6;FOSB;NFIL3;GFPT2;KLF2;TNFAIP6;GEM;SOCS3;NR4A2;LAMB3;PNRC1;MARCKS;IRS2;IL6ST;IL6;NFAT5;RELB;TNFAIP3;DUSP1;SPHK1;CDKN1A;MAFF;REL;PLK2;FOSL2;DENND5A;RCAN1;CLCF1;KLF9;HBEGF;CXCL1;IER5;BCL3;CCL2;TIPARP;FOS;SPSB1;SERPINB2;PANX1;B4GALT1;SQSTM1;F3;BIRC3;RELA;CXCL10;TNC;PLAU;KDM6B;TNIP1;SOD2;SGK1;CXCL2;SNN;PTGS2;PTX3;TRIB1;NR4A1;CSF1;PER1;ZFP36;MAP3K8;NR4A3;MAP2K3;STAT5A;MCL1;KLF10;NFKBIE;PDE4B;DNAJB4;CCND1;EHD1;EIF1,gsea,TNFA_SIGNALING_VIA_NFKB,-0.4413681760854678,-1.8390457837247236,0.006072874493927126,0.0075600085726532365,0.067,85/193,20.98%,KLF4;KLF2;ATF3;TNFAIP6;CD44;ABCA1;KLF9;RHOB;PMEPA1;KLF6;JUN;GFPT2;NR4A2;NFKB1;TNC;SOCS3;FOSB;FOS;DENND5A;IL6ST;SIK1;TUBB2A;RNF19B;NFIL3;TIPARP;OLR1;RCAN1;FOSL2;DRAM1;NR4A3;CCN1;NFAT5;SGK1;PLPP3;ZBTB10;BHLHE40;BMP2;STAT5A;CEBPD;IL6;BIRC3;ICAM1;B4GALT5;INHBA;IL18;SPSB1;SQSTM1;MAP3K8;MARCKS;PTX3;FJX1;REL;PDE4B;CCNL1;CLCF1;KLF10;PTGER4;RELB;B4GALT1;TNIP1;DNAJB4;IRF1;NFKBIA;RELA;TRIB1;EDN1;PANX1;TSC22D1;SPHK1;EGR2;CXCL10;TANK;TLR2;CSF1;RIPK2;NR4A1;DUSP1;ZFP36;NFKBIE;TNIP2;PTGS2;BTG3;SERPINB8;NFKB2;TNFAIP8
APICAL_JUNCTION,gsea,APICAL_JUNCTION,-0.46406240945327276,-2.1529828248797016,0.0,0.0003719702423806095,0.001,80/174,24.95%,CDH6;CLDN4;VCAM1;ICAM1;LAMA3;JUP;MYH10;CDH3;MSN;FSCN1;EVL;LAMB3;MAPK14;VCL;AKT3;MYH9;CTNNA1;SLIT2;FLNC;PARD6G;MYL12B;CD276;SDC3;BAIAP2;EXOC4;ADAMTS5;GNAI1;PPP2R2C;MPZL2;PIK3R3;PFN1;B4GALT1;BMP1;THBS3;ACTG1;FBN1;YWHAH;CLDN6;VAV2;NLGN2;SPEG;COL17A1;MYL9;PECAM1;NECTIN4;CDH11;MMP2;PTK2;PTEN;ITGA9;ZYX;RASA1;COL16A1;TJP1;CLDN11;GTF2F1;DHX16;TGFBI;TNFRSF11B;MDK;CDH1;AMIGO1;AKT2;DLG1;RHOF;PKD1;CX3CL1;TMEM8B;RSU1;SIRPA;JAM3;MAP3K20;NEXN;NECTIN3;KCNH2;THY1;NECTIN1;NRTN;ACTN1;PIK3CB,gsea,APICAL_JUNCTION,-0.45357795212581903,-2.1053009214654046,0.0,0.0008096394723055674,0.004,76/174,27.74%,VCAN;MSN;VCAM1;AKT3;VCL;EPB41L2;MYH10;THBS3;FBN1;EXOC4;VAV2;RSU1;SLIT2;NF1;LIMA1;BAIAP2;MMP2;BMP1;COL16A1;MYL9;EVL;PKD1;NECTIN3;CDH6;TGFBI;MAPK14;FLNC;CD276;DLG1;PTK2;ADAMTS5;MYH9;THY1;CLDN11;SKAP2;ITGB1;ICAM1;CERCAM;SDC3;ITGB4;YWHAH;PIK3R3;JUP;CD34;FSCN1;SIRPA;SPEG;PECAM1;CDH11;SGCE;NF2;ZYX;ACTN1;NECTIN1;PARD6G;B4GALT1;CTNNA1;PTEN;ADAM15;ITGA9;MDK;AKT2;DHX16;ADAM23;CADM3;IRS1;PARVA;NEGR1;ITGA10;TAOK2;COL17A1;TMEM8B;SYK;CDK8;ACTG2;SORBS3
MYOGENESIS,gsea,MYOGENESIS,-0.45726425023891154,-2.1218407791705447,0.0,0.0005579553635709143,0.002,56/160,19.69%,IGFBP7;NCAM1;SCHIP1;WWTR1;AGRN;COL3A1;SVIL;CRYAB;GADD45B;PDLIM7;CNN3;SPARC;SPHK1;EIF4A2;MYH9;CDKN1A;COL1A1;IGF1;KLF5;MEF2A;GSN;PRNP;SPTAN1;HBEGF;TPM3;MRAS;LAMA2;SSPN;MYOM1;COL6A3;MYLK;FABP3;GPX3;KIFC3;HSPB8;SPEG;ITGB5;LARGE1;PTGIS;IFRD1;MEF2C;BAG1;CHRNB1;NOTCH1;FXYD1;SORBS1;AEBP1;CASQ1;SOD3;COL6A2;AKT2;ADAM12;TAGLN;DES;PTP4A3;PYGM,gsea,MYOGENESIS,-0.5436979087773095,-2.5187710521368714,0.0,0.0,0.0,63/159,20.50%,ITGB5;COL3A1;SPARC;IGFBP7;COL6A2;COL1A1;MEF2C;MEF2A;NCAM1;APP;SCHIP1;SSPN;COL6A3;AEBP1;ABLIM1;SPTAN1;IGF1;WWTR1;ADAM12;SVIL;LARGE1;FHL1;AK1;RB1;NAV2;LSP1;CNN3;CDH13;CRYAB;BHLHE40;FGF2;MYH9;PKIA;PRNP;ADCY9;SOD3;ITGB1;ITGA7;ITGB4;LAMA2;MRAS;PDLIM7;SPEG;GPX3;AGRN;IFRD1;DMD;APOD;SORBS1;GNAO1;KCNH1;PSEN2;SPHK1;NOTCH1;PTGIS;TAGLN;AKT2;EFS;FXYD1;MYL4;TNNI1;COL15A1;TSC2
TGF_BETA_SIGNALING,gsea,TGF_BETA_SIGNALING,-0.5718603050436762,-2.1048069908947418,0.0,0.0004463642908567314,0.002,24/53,18.58%,PMEPA1;HIPK2;WWTR1;ACVR1;TGFBR1;NCOR2;PPP1R15A;ARID4B;BMPR2;THBS1;SKIL;SMURF2;SMAD7;CTNNB1;SKI;RHOA;KLF10;TRIM33;TJP1;CDKN1C;SMAD1;MAP3K7;CDH1;SERPINE1,gsea,TGF_BETA_SIGNALING,-0.5586981029517293,-1.9912949725717353,0.0,0.003312161477613685,0.02,28/53,22.79%,BMPR2;THBS1;PMEPA1;ACVR1;SMAD1;NCOR2;ARID4B;LTBP2;SPTBN1;HIPK2;SKIL;TGFBR1;WWTR1;SMURF2;SKI;BMP2;RHOA;ID3;SMURF1;FURIN;FNTA;KLF10;MAP3K7;ENG;APC;BMPR1A;PPP1R15A;NOG
UV_RESPONSE_DN,gsea,UV_RESPONSE_DN,-0.4540148725290695,-2.006522910358465,0.0,0.0020458363330933525,0.011,73/143,24.70%,SCHIP1;NFKB1;COL3A1;KALRN;CCN1;ZMIZ1;GJA1;LTBP1;IGF1R;ATXN1;COL1A2;DDAH1;NFIB;MAPK14;DUSP1;AKT3;NOTCH2;MET;COL1A1;RBPMS;NEK7;FYN;MMP16;FZD2;SMAD7;CACNA1A;ATP2B4;ATRX;PTPN21;PIK3R3;IGFBP5;TGFBR3;CAV1;F3;DAB2;KIT;CDON;AGGF1;BCKDHB;SCAF8;PTPRM;VAV2;LPAR1;NIPBL;LAMC1;CDK13;MAP1B;COL5A2;PTEN;CELF2;SYNE1;YTHDC1;TJP1;RND3;DLC1;TOGARAM1;MTA1;RXRA;MAGI2;PTGFR;PHF3;DLG1;PRKAR2B;SERPINE1;ABCC1;APBB2;CDC42BPA;RASA2;RGS4;NRP1;COL11A1;SFMBT1;PMP22,gsea,UV_RESPONSE_DN,-0.5928963585929954,-2.4823670807966813,0.0,0.0,0.0,74/143,16.01%,PTPRM;LTBP1;COL3A1;GJA1;COL1A1;KALRN;FYN;AKT3;NRP1;MAP1B;NFKB1;IGF1R;SCHIP1;NFIB;ATP2B4;COL1A2;VAV2;ZMIZ1;NOTCH2;SYNE1;DLC1;PDGFRB;SDC2;IGFBP5;PMP22;COL11A1;KIT;COL5A2;NIPBL;ATXN1;NEK7;SPOP;MAGI2;DAB2;PLCB4;CDC42BPA;ADD3;CCN1;MAPK14;FZD2;CDK13;TGFBR3;PLPP3;PRKCE;MMP16;BHLHE40;DLG1;SLC7A1;DYRK1A;FBLN5;LPAR1;CDON;TGFBR2;ITGB3;ATRX;SFMBT1;PIK3R3;ATRN;HAS2;SCAF8;MAP2K5;AGGF1;NR1D2;PTGFR;GRK5;RUNX1;TOGARAM1;BCKDHB;PTEN;YTHDC1;RND3;LAMC1;RGS4;PHF3
IL6_JAK_STAT3_SIGNALING,gsea,IL6_JAK_STAT3_SIGNALING,-0.4810692787888216,-1.9389378232403014,0.0,0.002550653090609894,0.013,22/79,13.89%,PIM1;IRF1;JUN;IL13RA1;OSMR;SOCS3;IL6ST;IL6;STAT3;CCL7;CXCL1;PDGFC;CD14;PTPN2;FAS;CXCL10;PTPN11;IFNGR1;GRB2;CSF1;MAP3K8;TNFRSF12A,gsea,IL6_JAK_STAT3_SIGNALING,-0.5098639512701189,-2.136290986246823,0.0,0.00036433776253750537,0.002,23/78,17.39%,PDGFC;CD44;STAT3;JUN;OSMR;SOCS3;IL6ST;FAS;IL6;ITGB3;IL1R1;MAP3K8;PTPN11;IL13RA1;CCL7;IL2RG;PTPN2;IL17RA;IRF1;CXCL10;TLR2;CSF1;IL3RA
COAGULATION,gsea,COAGULATION,-0.4441615826087134,-1.9087080684588613,0.0,0.0027897768178545717,0.017,40/107,21.65%,FN1;KLF7;TIMP3;CRIP2;PDGFB;PLAT;CAPN2;HMGCS2;SERPING1;SPARC;C3;MAFF;THBS1;MMP14;FYN;DUSP14;GSN;MMP11;CTSE;SERPINC1;THBD;SERPINB2;BMP1;F3;PLAU;FBN1;PECAM1;CFI;HTRA1;MMP2;RGN;LRP1;PRSS23;USP11;CTSK;SERPINE1;CPQ;A2M;F10;OLR1,gsea,COAGULATION,-0.5276234133258295,-2.3107859060565388,0.0,0.0,0.0,35/107,15.94%,TIMP3;FN1;KLF7;SPARC;THBS1;FYN;CRIP2;MMP14;FBN1;CPQ;C3;LRP1;HTRA1;ANXA1;CFH;SERPING1;SERPINC1;TIMP1;MMP2;BMP1;OLR1;GNG12;PDGFB;GDA;PROS1;ITGB3;LAMP2;FURIN;PECAM1;MMP11;DUSP14;S100A1;CAPN2;CSRP1;CTSO
KRAS_SIGNALING_DN,gsea,KRAS_SIGNALING_DN,-0.4315243129848859,-1.8331651205415327,0.0,0.006819454443644508,0.044,53/119,33.74%,EDN1;HSD11B2;PTPRJ;TGFB2;NR4A2;CDKAL1;TCF7L1;GPRC5C;SPTBN2;SKIL;EDN2;FGFR3;TFCP2L1;SERPINB2;ARHGDIG;CELSR2;KRT15;UPK3B;SYNPO;SGK1;SNN;PKP1;SLC29A3;TENT5C;HTR1D;YPEL1;LFNG;BMPR1B;NR6A1;SLC25A23;KLHDC8A;PTGFR;PRODH;KRT4;DTNB;LGALS7;CLPS;TGM1;KMT2D;GPR3;MFSD6;TEX15;SHOX2;BRDT;P2RX6;CALCB;FGGY;NUDT11;CYP39A1;ATP4A;WNT16;LYPD3;ZC2HC1C,gsea,KRAS_SIGNALING_DN,-0.47181677522390486,-2.2612754226964973,0.0,0.0,0.0,49/118,29.20%,PTPRJ;NR4A2;TGFB2;TCF7L1;SYNPO;SKIL;CAMK1D;COPZ2;SPTBN2;CDKAL1;KLHDC8A;SGK1;BMPR1B;NR6A1;TENT5C;WNT16;CELSR2;SLC25A23;HSD11B2;MFSD6;TFCP2L1;THRB;CPEB3;GRID2;GTF3C5;NUDT11;PTGFR;FGFR3;EDN1;ZBTB16;EGF;CPB1;IDUA;BRDT;CHST2;GDNF;YPEL1;SLC16A7;IGFBP2;SERPINB2;LFNG;UPK3B;KMT2D;KLK8;THNSL2;CLPS;KCND1;GPR3;COQ8A
UV_RESPONSE_UP,gsea,UV_RESPONSE_UP,-0.4100600005399233,-1.8163214902393887,0.0,0.007253419726421887,0.051,59/138,29.13%,PTPRD;ICAM1;NFKBIA;IRF1;RHOB;ATF3;EPHX1;BCL2L11;FOSB;FKBP4;PDAP1;IL6ST;IL6;HNRNPU;MMP14;PPP1R2;DDX21;ONECUT1;ALAS1;DNAJA1;FOS;SQSTM1;STIP1;POLG2;SOD2;POLE3;MAOA;GPX3;CXCL2;BID;FGF18;NR4A1;PRKCD;RRAD;WIZ;EPCAM;CDKN1C;NXF1;SLC25A4;BTG1;NPTXR;GLS;CDO1;RASGRP1;ATP6V1F;CDC5L;TCHH;PDLIM3;HMOX1;SULT1A1;KCNH2;PLCL1;RFC4;FMO1;GRPEL1;BTG3;SHOX2;YKT6;HSPA2,gsea,UV_RESPONSE_UP,-0.25801789982559503,-1.203681686009126,0.1540084388185654,0.22076355735548428,0.846,63/138,47.76%,ATF3;RHOB;FOSB;GLS;PLCL1;FOS;MMP14;IL6ST;BMP2;PTPRD;IL6;EPHX1;POLG2;ICAM1;SQSTM1;FURIN;GPX3;TCHH;MAOA;DDX21;IRF1;NFKBIA;FMO1;PSMC3;CLTB;MGAT1;BCL2L11;NR4A1;BTG3;MSX1;IGFBP2;RRAD;CDO1;AMD1;DNAJA1;HSPA2;NXF1;PDLIM3;NTRK3;CCNE1;SLC25A4;RASGRP1;RPN1;TAP1;CREG1;MARK2;HSPA13;POLE3;PRPF3;ALAS1;DLG4;SOD2;ONECUT1;TGFBRAP1;PRKACA;SULT1A1;PDAP1;CDC5L;SHOX2;DGAT1;RXRB;FKBP4;HNRNPU
downOnKras,gsea,downOnKras,-0.4177004525140794,-1.8054638791243809,0.0,0.007608482230512467,0.058,34/80,31.84%,EMP2;RHOB;DUSP8;GPRC5C;YPEL2;FGFR3;PALM;ZDHHC1;ISM2;NYNRIN;FAM171B;MAPK8IP1;CLIC3;LRFN1;TNXB;STEAP3;TMEM184B;TMEM229B;SMTNL2;SMIM1;HS6ST1;PYGM;TLN1;SLC29A4;TMEM151A;KCNH3;GDF11;ISLR;THG1L;LSM14A;WIPF3;NPPC;HIPK3;RAB26,gsea,downOnKras,-0.3871228533319113,-1.7542690242319872,0.0,0.014978330237652996,0.128,33/79,27.18%,RHOB;DUSP8;HIPK3;ZDHHC1;SCN1B;FAM171B;CHPF;TNXB;TMEM151A;TLN1;FGFR3;PXYLP1;NT5DC2;EMP2;NYNRIN;ISLR;SMIM1;GDF11;SLC41A1;NPPC;TOP1MT;CLIC3;DISC1;LYNX1;ANO10;MEIS3;STEAP3;TMEM184B;YPEL2;DAPK2;IL10RB;DHX40;ELOVL7
MITOTIC_SPINDLE,gsea,MITOTIC_SPINDLE,-0.4078958103353786,-1.790548432580107,0.004210526315789474,0.007997360211183106,0.066,86/197,24.88%,AKAP13;FLNA;SORBS2;TRIO;STK38L;FARP1;CLIP1;ARHGEF12;MYH10;BCL2L11;KIF1B;FSCN1;RASAL2;MARCKS;VCL;EZR;YWHAE;NOTCH2;MYH9;TIAM1;PALLD;PAFAH1B1;KIFAP3;LMNB1;PCM1;GSN;MYO1E;ARHGEF2;ABI1;CDC42;SPTAN1;NEDD9;ARFGEF1;BCAR1;SMC1A;MAPRE1;CLASP1;NIN;DST;SMC3;TBCD;ROCK1;CDK5RAP2;RFC1;CTTN;RAPGEF5;DYNLL2;SYNPO;SOS1;TUBGCP2;SUN2;CDC42EP1;PKD2;RANBP9;PCNT;HOOK3;RASA1;DYNC1H1;RICTOR;PCGF5;MARK4;PLEKHG2;ALMS1;LLGL1;SHROOM1;ABL1;DLG1;CCDC88A;BRCA2;KIF3C;RHOF;STAU1;CYTH2;MAP3K11;HDAC6;CDC42BPA;RASA2;NUMA1;SAC3D1;TUBGCP3;MAP1S;SASS6;BCR;ARHGAP29;CSNK1D;BIN1,gsea,MITOTIC_SPINDLE,-0.5074918400028381,-2.1973446471309197,0.0,0.0002081930071642888,0.001,68/197,18.67%,AKAP13;DST;STK38L;TRIO;KIF1B;NEDD9;PALLD;CLIP1;VCL;FARP1;EPB41L2;ARHGAP10;MYH10;PAFAH1B1;SPTBN1;ABI1;SYNPO;NOTCH2;CCDC88A;SPTAN1;NF1;FLNA;ARHGEF12;CLASP1;CDK5RAP2;KIFAP3;KLC1;OPHN1;PKD2;CDC42BPA;MID1;MYO1E;RASAL2;PCM1;SORBS2;DLG1;HOOK3;MYH9;DYNC1H1;FLNB;FSCN1;MARCKS;RAB3GAP1;CNTRL;BCR;ROCK1;RALBP1;ARFGEF1;ARHGEF3;SUN2;RICTOR;NCK2;TLK1;PCNT;HDAC6;CKAP5;TUBGCP3;TBCD;SMC1A;KIF5B;CDC42;CDC42EP2;NIN;ITSN1;ARHGEF2;BCL2L11;PCGF5;RAPGEF6
APOPTOSIS,gsea,APOPTOSIS,-0.3946043998794382,-1.7511158812892504,0.005917159763313609,0.010386553691089328,0.085,70/151,27.15%,TIMP3;DCN;TIMP2;IRF1;IL18;GADD45A;JUN;RHOB;ATF3;HSPB1;PLAT;GADD45B;BCL2L11;TGFB2;WEE1;PAK1;IL6;LMNA;CDKN1A;CREBBP;GSN;PMAIP1;SMAD7;CTNNB1;SPTAN1;NEDD9;DNAJA1;BGN;BMF;CASP4;CD14;TGFBR3;CAV1;SQSTM1;BIRC3;FAS;RELA;ROCK1;SOD2;LUM;GPX3;BID;IFITM3;DNM1L;BIK;IFNGR1;MMP2;PTK2;CASP6;MCL1;TNFRSF12A;CCND1;RARA;BCL10;EGR3;GPX1;DIABLO;IER3;ETF1;PLCB2;IGFBP6;CD2;AIFM3;TNFSF10;HMOX1;HGF;AVPR1A;NEFH;CYLD;BTG3,gsea,APOPTOSIS,-0.42538369282280136,-1.8870283861553272,0.002070393374741201,0.0053436205172167454,0.044,55/149,21.96%,TIMP3;ATF3;HSPB1;CD44;NEDD9;IFITM3;PAK1;RHOB;JUN;DCN;APP;TIMP2;LMNA;TGFB2;PDCD4;WEE1;SPTAN1;PDGFRB;ANXA1;TIMP1;MMP2;CREBBP;LUM;CASP4;TGFBR3;BMP2;FAS;PTK2;IL6;BIRC3;GSTM1;IL18;SATB1;SQSTM1;PSEN1;HGF;GPX3;ROCK1;PPP2R5B;IRF1;BGN;RELA;PSEN2;TSPO;DNM1L;ADD1;BCL2L11;IGFBP6;BTG3;ETF1;FEZ1;BMF;GSN;LEF1;DNAJC3
WNT_BETA_CATENIN_SIGNALING,gsea,WNT_BETA_CATENIN_SIGNALING,-0.46414330200284193,-1.6827120673453642,0.005484460694698354,0.016100997634474958,0.14,22/38,28.89%,CSNK1E;NCOR2;CUL1;CTNNB1;ADAM17;GNAI1;HDAC2;WNT5B;RBPJ;FZD8;NUMB;NOTCH1;KAT2A;TCF7;AXIN1;FZD1;AXIN2;NKD1;HDAC5;HDAC11;MAML1;JAG2,gsea,WNT_BETA_CATENIN_SIGNALING,-0.409860855012605,-1.5598816474852166,0.026476578411405296,0.04962663839195073,0.322,19/38,35.69%,NCOR2;ADAM17;FZD1;CSNK1E;CUL1;TCF7;FZD8;AXIN2;HDAC2;PSEN2;NOTCH1;LEF1;WNT5B;PTCH1;AXIN1;WNT6;NUMB;NKD1;HEY1
